country,code,date,coal,gas,cement,flaring,oil,other
United States,USA,1800,252816,0,0,0,0,0
United States,USA,1801,267472,0,0,0,0,0
United States,USA,1802,289456,0,0,0,0,0
United States,USA,1803,296784,0,0,0,0,0
United States,USA,1804,333424,0,0,0,0,0
United States,USA,1805,340752,0,0,0,0,0
United States,USA,1806,333424,0,0,0,0,0
United States,USA,1807,377392,0,0,0,0,0
United States,USA,1808,392048,0,0,0,0,0
United States,USA,1809,403040,0,0,0,0,0
United States,USA,1810,417696,0,0,0,0,0
United States,USA,1811,447008,0,0,0,0,0
United States,USA,1812,483648,0,0,0,0,0
United States,USA,1813,520288,0,0,0,0,0
United States,USA,1814,560592,0,0,0,0,0
United States,USA,1815,600896,0,0,0,0,0
United States,USA,1816,663184,0,0,0,0,0
United States,USA,1817,718144,0,0,0,0,0
United States,USA,1818,780432,0,0,0,0,0
United States,USA,1819,762112,0,0,0,0,0
United States,USA,1820,791424,0,0,0,0,0
United States,USA,1821,828064,0,0,0,0,0
United States,USA,1822,864704,0,0,0,0,0
United States,USA,1823,901344,0,0,0,0,0
United States,USA,1824,1014928,0,0,0,0,0
United States,USA,1825,1135840,0,0,0,0,0
United States,USA,1826,1315376,0,0,0,0,0
United States,USA,1827,1447280,0,0,0,0,0
United States,USA,1828,1593840,0,0,0,0,0
United States,USA,1829,1795360,0,0,0,0,0
United States,USA,1830,2088480,0,0,0,0,0
United States,USA,1831,2264352,0,0,0,0,0
United States,USA,1832,3022800,0,0,0,0,0
United States,USA,1833,3528432,0,0,0,0,0
United States,USA,1834,3381872,0,0,0,0,0
United States,USA,1835,4316192,0,0,0,0,0
United States,USA,1836,4730224,0,0,0,0,0
United States,USA,1837,5305472,0,0,0,0,0
United States,USA,1838,5030672,0,0,0,0,0
United States,USA,1839,5517984,0,0,0,0,0
United States,USA,1840,5873392,0,0,0,0,0
United States,USA,1841,6214144,0,0,0,0,0
United States,USA,1842,6917632,0,0,0,0,0
United States,USA,1843,7764016,0,0,0,0,0
United States,USA,1844,9306560,0,0,0,0,0
United States,USA,1845,11204512,0,0,0,0,0
United States,USA,1846,12710416,0,0,0,0,0
United States,USA,1847,15070032,0,0,0,0,0
United States,USA,1848,16784784,0,0,0,0,0
United States,USA,1849,18221072,0,0,0,0,0
United States,USA,1850,19792928,0,0,0,0,0
United States,USA,1851,24633072,0,0,0,0,0
United States,USA,1852,26791168,0,0,0,0,0
United States,USA,1853,30162048,0,0,0,0,0
United States,USA,1854,33159200,0,0,0,0,0
United States,USA,1855,38160560,0,0,0,0,0
United States,USA,1856,40036528,0,0,0,0,0
United States,USA,1857,41055120,0,0,0,0,0
United States,USA,1858,41648688,0,0,0,0,0
United States,USA,1859,45320016,0,0,0,0,0
United States,USA,1860,47236272,0,0,0,201536,0
United States,USA,1861,44818048,0,0,0,861040,0
United States,USA,1862,46199472,0,0,0,1249328,0
United States,USA,1863,53743552,0,0,0,1066224,0
United States,USA,1864,57792272,0,0,0,864704,0
United States,USA,1865,57799600,0,0,0,1022256,0
United States,USA,1866,57762960,0,0,0,1469264,0
United States,USA,1867,71499227,0,0,0,1366741,0
United States,USA,1868,80860816,0,0,0,1491248,0
United States,USA,1869,91970064,0,0,0,1725744,0
United States,USA,1870,96572048,0,0,0,2048176,0
United States,USA,1871,101001824,0,0,0,2018864,0
United States,USA,1872,123894496,0,0,0,2410912,0
United States,USA,1873,135655936,0,0,0,3850864,0
United States,USA,1874,129973072,0,0,0,4323520,0
United States,USA,1875,132318032,0,0,0,3429504,0
United States,USA,1876,129335632,0,0,0,3484368,0
United States,USA,1877,141998449,0,0,0,5177103,0
