country,code,date,carbon
United States,USA,1800,0.0421
United States,USA,1801,0.0437
United States,USA,1802,0.0465
United States,USA,1803,0.0468
United States,USA,1804,0.0515
United States,USA,1805,0.0517
United States,USA,1806,0.0496
United States,USA,1807,0.0551
United States,USA,1808,0.0562
United States,USA,1809,0.0567
United States,USA,1810,0.0572
United States,USA,1811,0.0596
United States,USA,1812,0.0626
United States,USA,1813,0.0652
United States,USA,1814,0.068
United States,USA,1815,0.0706
United States,USA,1816,0.0755
United States,USA,1817,0.0791
United States,USA,1818,0.0833
United States,USA,1819,0.0788
United States,USA,1820,0.0794
United States,USA,1821,0.0806
United States,USA,1822,0.0818
United States,USA,1823,0.0829
United States,USA,1824,0.0907
United States,USA,1825,0.0987
United States,USA,1826,0.1111
United States,USA,1827,0.1189
United States,USA,1828,0.1273
United States,USA,1829,0.1394
United States,USA,1830,0.1577
United States,USA,1831,0.1663
United States,USA,1832,0.2159
United States,USA,1833,0.2451
United States,USA,1834,0.2286
United States,USA,1835,0.2838
United States,USA,1836,0.3026
United States,USA,1837,0.3301
United States,USA,1838,0.3045
United States,USA,1839,0.3247
United States,USA,1840,0.3359
United States,USA,1841,0.3452
United States,USA,1842,0.373
United States,USA,1843,0.4062
United States,USA,1844,0.4725
United States,USA,1845,0.552
United States,USA,1846,0.6076
United States,USA,1847,0.699
United States,USA,1848,0.7554
United States,USA,1849,0.7957
United States,USA,1850,0.8387
United States,USA,1851,1.0123
United States,USA,1852,1.0677
United States,USA,1853,1.1658
United States,USA,1854,1.243
United States,USA,1855,1.3873
United States,USA,1856,1.4116
United States,USA,1857,1.4038
United States,USA,1858,1.3811
United States,USA,1859,1.4596
United States,USA,1860,1.4858
United States,USA,1861,1.3932
United States,USA,1862,1.411
United States,USA,1863,1.5913
United States,USA,1864,1.6625
United States,USA,1865,1.6276
United States,USA,1866,1.6001
United States,USA,1867,1.9217
United States,USA,1868,2.1203
United States,USA,1869,2.3555
United States,USA,1870,2.4213
United States,USA,1871,2.4705
United States,USA,1872,2.9589
United States,USA,1873,3.1931
United States,USA,1874,3.0033
United States,USA,1875,2.9661
United States,USA,1876,2.8355
United States,USA,1877,3.0698
United States,USA,1878,2.9327
United States,USA,1879,3.4939
United States,USA,1880,3.8652
United States,USA,1881,3.9951
United States,USA,1882,4.3712
United States,USA,1883,4.6061
United States,USA,1884,4.7431
United States,USA,1885,4.7132
United States,USA,1886,4.8637
United States,USA,1887,5.0811
United States,USA,1888,6.0381
United States,USA,1889,5.2986
United States,USA,1890,6.2081
United States,USA,1891,6.4683
United States,USA,1892,6.6809
United States,USA,1893,6.6057
United States,USA,1894,6.0645
United States,USA,1895,6.7163
United States,USA,1896,6.6002
United States,USA,1897,6.7347
United States,USA,1898,7.2
United States,USA,1899,8.0994
United States,USA,1900,8.4143
